노드링크 유형,시군구명,읍면동명,위도,경도
NODE,노원구,중계동,37.654579057,127.07406411
NODE,노원구,중계동,37.653675837,127.07382507
NODE,노원구,상계동,37.662837616,127.07532762
NODE,노원구,공릉동,37.623088155,127.09054751
LINK,노원구,상계동,37.664372897,127.06621024
LINK,노원구,상계동,37.64507257,127.06011016
NODE,노원구,상계동,37.667793749,127.06699203
LINK,노원구,공릉동,37.631393996,127.08316882
LINK,노원구,공릉동,37.624786258,127.08900304
LINK,노원구,상계동,37.648855692,127.06222231
NODE,노원구,중계동,37.654772705,127.07447175
LINK,노원구,하계동,37.641314687,127.07632154
NODE,노원구,공릉동,37.629082161,127.07111764
NODE,노원구,공릉동,37.629173475,127.07149179
NODE,노원구,공릉동,37.62880034,127.07166984
NODE,노원구,공릉동,37.628695285,127.07131294
NODE,노원구,중계동,37.653618637,127.07409472
NODE,노원구,중계동,37.659344757,127.07331372
NODE,노원구,중계동,37.659258667,127.07315958
LINK,노원구,중계동,37.639496672,127.06062386
LINK,노원구,상계동,37.664341563,127.05601639
NODE,노원구,상계동,37.651677573,127.06149812
NODE,노원구,공릉동,37.629853528,127.07638414
NODE,노원구,중계동,37.657845348,127.07487664
NODE,노원구,상계동,37.658559148,127.07102211
NODE,노원구,중계동,37.656540647,127.07460042
LINK,노원구,공릉동,37.630955077,127.06760671
LINK,노원구,월계동,37.615726977,127.06996721
LINK,노원구,중계동,37.646009189,127.0818893
NODE,노원구,중계동,37.638949599,127.06709412
LINK,노원구,상계동,37.670257562,127.08116337
NODE,노원구,상계동,37.65991216,127.07268093
NODE,노원구,상계동,37.659753467,127.07256666
NODE,노원구,상계동,37.659885215,127.07223871
NODE,노원구,상계동,37.658878751,127.07133908
NODE,노원구,상계동,37.659773974,127.07241262
NODE,노원구,상계동,37.658728991,127.07145305
NODE,노원구,상계동,37.658729294,127.07095095
